variable,rmse,mae
10u,1.2332088,0.87755024
10v,1.2630827,0.91860765
2t,1.0010643,0.6351532
msl,52.995308,36.200127
q_50,1.7312443e-07,1.5810204e-07
q_100,2.3758406e-07,1.8651447e-07
q_150,1.9769466e-06,1.1397875e-06
q_200,1.1832558e-05,7.1401864e-06
q_250,3.633472e-05,2.1914637e-05
q_300,8.7992135e-05,4.9154834e-05
q_400,0.00024821307,0.00015081071
q_500,0.00041726837,0.00026422765
q_600,0.0005910607,0.0003852424
q_700,0.00075006846,0.0004947722
q_850,0.0010080346,0.0006691535
q_925,0.0007651966,0.00049025484
q_1000,0.00060506864,0.00040774478
t_50,0.9594744,0.7349492
t_100,0.7218476,0.540991
t_150,0.62013143,0.45633435
t_200,0.5985833,0.41619787
t_250,0.511658,0.36778572
t_300,0.48977697,0.35799232
t_400,0.4682803,0.34404063
t_500,0.45644382,0.3410048
t_600,0.463706,0.34769863
t_700,0.53305376,0.39270788
t_850,0.761822,0.5350736
t_925,0.75410175,0.5065506
t_1000,0.8291288,0.571894
u_50,1.7942258,1.3806511
u_100,2.1050696,1.5901599
u_150,2.1797903,1.6605583
u_200,2.3057466,1.7013227
u_250,2.4116936,1.7545762
u_300,2.4560738,1.8028635
u_400,2.182833,1.5859482
u_500,1.8472592,1.349926
u_600,1.7337478,1.2692049
u_700,1.7473899,1.2809488
u_850,1.6552846,1.2043945
u_925,1.5387795,1.0922266
u_1000,1.327444,0.9548659
v_50,1.8421633,1.42923
v_100,2.0619445,1.5479462
v_150,2.1394348,1.6069852
v_200,2.1959128,1.6272763
v_250,2.3610754,1.7041351
v_300,2.3563762,1.7221291
v_400,2.1231937,1.5333525
v_500,1.8399752,1.3396199
v_600,1.6615361,1.2256334
v_700,1.658526,1.2233745
v_850,1.6214527,1.1755573
v_925,1.5972131,1.1219089
v_1000,1.3868374,1.010252
z_50,64.19799,49.481945
z_100,49.396687,37.660904
z_150,43.01537,32.7444
z_200,43.99805,32.745693
z_250,44.586143,32.99523
z_300,43.528187,32.181385
z_400,36.693264,27.226368
z_500,32.574207,23.869295
z_600,29.645674,21.857937
z_700,29.060213,21.597527
z_850,30.62505,22.310692
z_925,33.864025,24.194057
z_1000,39.1297,27.42053
